0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,24.309999,24.799999,24.139999,24.709999,24.313826,9074450
2012-10-19,24.590000,24.850000,24.250000,24.610001,24.215431,4954960
2012-10-22,24.610001,24.610001,23.750000,24.010000,23.625051,4888358
2012-10-23,23.830000,24.240000,23.629999,24.010000,23.625051,5004334
2012-10-24,24.020000,24.480000,23.959999,24.090000,23.703770,3283794
2012-10-25,24.090000,24.629999,24.090000,24.469999,24.077673,4641453
2012-10-26,24.540001,25.200001,24.490000,24.850000,24.451584,4779625
2012-10-29,24.700001,24.840000,24.100000,24.280001,23.890722,4159192
2012-10-30,24.700001,24.700001,24.000000,24.049999,23.664408,2016871
2012-10-31,24.150000,24.389999,24.000000,24.150000,23.762804,6491079
2012-11-05,24.059999,24.680000,23.950001,24.510000,24.117035,5611891
2012-11-06,24.510000,25.160000,24.510000,25.070000,24.668056,9788415
2012-11-07,25.000000,25.020000,24.110001,24.430000,24.038317,8859585
2012-11-08,24.450001,24.580000,24.000000,24.209999,23.821842,7403105
2012-11-09,24.170000,24.969999,24.010000,24.809999,24.412222,6513581
2012-11-12,24.990000,25.090000,24.510000,25.049999,24.648376,2912082
2012-11-13,25.000000,25.950001,24.860001,25.730000,25.317471,8392143
2012-11-14,25.900000,26.200001,25.440001,26.040001,25.622503,6743196
2012-11-15,25.969999,25.969999,25.320000,25.629999,25.219078,6974298
2012-11-16,25.670000,26.570000,25.600000,26.330000,25.907854,6238480
2012-11-20,26.650000,27.969999,26.650000,27.520000,27.078775,8240440
2012-11-21,27.500000,28.980000,27.250000,28.410000,27.954506,12504993
2012-11-22,28.350000,28.820000,27.500000,27.820000,27.373964,3789213
2012-11-23,27.820000,28.200001,26.600000,26.900000,26.468718,6813993
2012-11-26,26.900000,27.889999,26.549999,26.709999,26.281759,5228116
2012-11-27,26.790001,27.600000,26.730000,27.350000,26.911501,10017981
2012-11-28,27.770000,28.000000,27.290001,27.799999,27.354286,7469717
2012-11-29,28.000000,28.290001,27.299999,27.420000,26.980379,5866778
2012-11-30,27.280001,27.650000,26.750000,26.809999,26.380157,33335432
2012-12-03,27.100000,27.940001,27.010000,27.709999,27.265730,6675750
2012-12-04,27.580000,27.700001,27.120001,27.459999,27.019735,6260286
2012-12-05,27.590000,28.010000,27.299999,27.850000,27.403484,10275365
2012-12-06,27.850000,28.360001,27.600000,27.830000,27.383806,6942680
2012-12-07,27.860001,28.340000,27.700001,28.270000,27.816751,4197454
2012-12-10,28.250000,28.350000,27.500000,28.209999,27.757711,9744428
2012-12-11,28.209999,28.690001,28.209999,28.459999,28.003704,10592255
2012-12-13,28.190001,29.080000,28.170000,28.969999,28.505529,7402276
2012-12-14,28.950001,29.400000,28.420000,28.620001,28.161139,6498937
2012-12-17,28.620001,29.000000,28.219999,28.400000,27.944666,7280415
2012-12-18,28.459999,30.000000,28.299999,29.639999,29.164783,6795184
2012-12-19,29.299999,29.440001,28.500000,28.629999,28.170977,13886646
2012-12-20,28.920000,29.200001,28.629999,28.950001,28.485849,7299860
2012-12-21,28.500000,28.950001,27.850000,27.980000,27.531399,23532128
2012-12-24,28.180000,28.180000,27.430000,27.580000,27.137815,1599244
2012-12-26,27.969999,27.969999,27.200001,27.299999,26.862301,7186434
2012-12-27,27.570000,27.799999,27.299999,27.520000,27.078775,3224517
2012-12-28,27.520000,27.650000,27.290001,27.410000,26.970537,4029009
2012-12-31,27.219999,27.639999,27.219999,27.379999,26.941019,2582693
2013-01-02,27.709999,29.000000,27.709999,28.940001,28.476009,12610657
2013-01-03,28.850000,29.309999,28.309999,28.370001,27.915146,8114923
2013-01-04,28.459999,29.000000,28.340000,28.930000,28.466169,7677477
