0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,22.490000,22.490000,22.110001,22.400000,21.155617,1059048
2012-10-19,22.360001,22.370001,21.500000,21.920000,20.702280,1844519
2012-10-22,21.500000,22.020000,21.379999,21.420000,20.230057,956569
2012-10-23,21.450001,21.660000,21.250000,21.540001,20.343391,293883
2012-10-24,22.000000,22.100000,21.700001,22.080000,20.853392,728792
2012-10-25,22.000000,22.139999,20.180000,21.230000,20.050611,2084587
2012-10-26,21.350000,21.350000,20.700001,20.740000,19.587833,929203
2012-10-29,21.209999,21.209999,20.110001,20.230000,19.106165,609839
2012-10-30,20.230000,20.719999,20.230000,20.700001,19.550055,1186145
2012-10-31,20.730000,21.080000,20.730000,21.000000,19.833389,1488838
2012-11-05,21.480000,22.129999,21.379999,21.570000,20.371723,1006831
2012-11-06,21.620001,21.799999,21.500000,21.780001,20.570059,999595
2012-11-07,21.780001,21.959999,21.260000,21.600000,20.400057,492206
2012-11-08,21.430000,21.590000,21.040001,21.250000,20.069502,711970
2012-11-09,21.299999,21.770000,20.620001,20.690001,19.540611,812527
2012-11-12,20.500000,21.320000,20.010000,21.170000,19.993946,622650
2012-11-13,21.219999,21.730000,21.100000,21.500000,20.305613,1012019
2012-11-14,21.530001,21.730000,20.700001,20.780001,19.625612,517177
2012-11-15,21.480000,21.490000,20.010000,20.270000,19.143942,1324490
2012-11-16,20.270000,20.700001,20.010000,20.139999,19.021164,912049
2012-11-20,20.500000,20.600000,20.200001,20.430000,19.295055,1219350
2012-11-21,20.389999,20.389999,19.799999,20.040001,18.926720,2358879
2012-11-22,20.100000,20.450001,20.100000,20.410000,19.276165,2487423
2012-11-23,20.480000,21.559999,20.480000,21.230000,20.050611,3438542
2012-11-26,21.280001,21.459999,21.080000,21.190001,20.012833,1241872
2012-11-27,21.350000,21.700001,21.010000,21.530001,20.333948,2443239
2012-11-28,21.400000,21.600000,20.719999,20.910000,19.748390,1585182
2012-11-29,21.129999,22.200001,21.020000,21.879999,20.664503,5892522
2012-11-30,21.879999,22.760000,21.879999,22.600000,21.344503,17933550
2012-12-03,22.540001,22.750000,22.490000,22.690001,21.429506,2625637
2012-12-04,22.510000,22.950001,22.510000,22.879999,21.608950,3524336
2012-12-05,22.950001,23.100000,22.660000,23.000000,21.722282,3004686
2012-12-06,23.030001,23.120001,22.510000,23.010000,21.731728,1398461
2012-12-07,22.900000,23.950001,22.900000,23.639999,22.326729,2161315
2012-12-10,23.639999,24.320000,23.600000,24.000000,22.666731,2348045
2012-12-11,24.230000,24.500000,24.059999,24.240000,22.893398,1285224
2012-12-13,24.280001,25.200001,23.639999,23.840000,22.515617,3757847
2012-12-14,23.879999,25.000000,23.730000,24.790001,23.412844,1112375
2012-12-17,24.900000,25.200001,24.790001,25.080000,23.686733,1678117
2012-12-18,25.000000,26.500000,24.990000,26.040001,24.593405,3911948
2012-12-19,26.090000,26.299999,25.510000,26.020000,24.574514,1889514
2012-12-20,26.000000,26.000000,25.580000,25.610001,24.187290,1146980
2012-12-21,25.879999,25.879999,24.799999,25.020000,23.630066,2118796
2012-12-24,25.000000,25.240000,24.900000,25.219999,23.818954,125785
2012-12-26,25.330000,25.900000,25.240000,25.520000,24.102291,701833
2012-12-27,25.719999,25.740000,25.100000,25.350000,23.941736,196534
2012-12-28,25.400000,25.750000,25.190001,25.590000,24.168402,329722
2012-12-31,25.840000,25.840000,25.400000,25.780001,24.347847,112866
2013-01-02,25.940001,27.900000,25.940001,27.230000,25.717295,1335862
2013-01-03,26.950001,27.490000,26.850000,27.030001,25.528406,546598
2013-01-04,26.799999,27.490000,26.799999,27.129999,25.622847,738932
2013-01-07,27.010000,27.129999,26.690001,26.850000,25.358406,950761
2013-01-08,26.850000,27.480000,26.549999,27.049999,25.547295,3167559
2013-01-09,27.000000,29.549999,27.000000,28.650000,27.058411,6943184
2013-01-10,28.900000,29.270000,28.559999,28.980000,27.370079,4459440
2013-01-11,29.270000,29.320000,28.299999,28.420000,26.841188,2102092
