0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,551.000000,556.500000,534.099976,538.520020,516.231201,123452
2012-10-19,538.000000,542.270020,533.000000,537.719971,515.464233,81731
2012-10-22,539.880005,539.880005,531.000000,534.270020,512.157104,228004
2012-10-23,534.479980,542.400024,529.049988,538.549988,516.260010,224466
2012-10-24,543.799988,543.799988,540.020020,542.619995,520.161438,45648
2012-10-25,543.000000,544.609985,540.000000,541.049988,518.656372,35520
2012-10-26,549.000000,558.000000,546.020020,548.469971,525.769348,78494
2012-10-29,548.750000,550.489990,538.030029,544.419983,521.887024,228795
2012-10-30,545.000000,550.000000,533.020020,539.890015,517.544495,258523
2012-10-31,539.900024,546.099976,537.099976,539.570007,517.237610,57148
2012-11-05,540.299988,545.099976,530.000000,534.979980,512.837646,244346
2012-11-06,532.000000,541.599976,520.250000,535.809998,513.633301,294391
2012-11-07,537.000000,537.000000,525.010010,530.690002,508.725250,281324
2012-11-08,534.000000,534.400024,518.400024,522.640015,501.008423,318288
2012-11-09,517.760010,530.000000,511.600006,523.659973,501.986145,303242
2012-11-12,518.820007,519.000000,513.000000,518.159973,496.713837,62063
2012-11-13,514.000000,523.000000,513.200012,518.520020,497.058960,65982
2012-11-14,523.950012,525.599976,516.799988,518.789978,497.317749,50009
2012-11-15,522.599976,522.599976,510.000000,511.579987,490.406158,84533
2012-11-16,510.559998,518.000000,502.399994,512.919983,491.690704,109637
2012-11-20,515.000000,519.900024,506.109985,514.450012,493.157410,285039
2012-11-21,515.500000,518.900024,508.100006,515.859985,494.509003,256297
2012-11-22,519.000000,524.900024,516.000000,524.799988,503.078979,32205
2012-11-23,525.000000,529.929993,525.000000,527.450012,505.619385,28542
2012-11-26,529.000000,532.500000,521.099976,528.340027,506.472595,247335
2012-11-27,527.099976,533.500000,525.219971,528.789978,506.903809,268281
2012-11-28,529.210022,533.000000,525.000000,531.650024,509.645447,39443
2012-11-29,533.010010,538.900024,532.500000,533.130005,511.064209,39450
2012-11-30,531.799988,550.000000,531.799988,545.260010,522.692139,510529
2012-12-03,544.000000,547.799988,540.650024,545.340027,522.768982,39189
2012-12-04,547.599976,548.049988,542.809998,545.090027,522.529358,38287
2012-12-05,545.799988,549.599976,536.059998,540.539978,518.167480,253330
2012-12-06,539.000000,556.010010,532.599976,552.179993,529.325806,281445
2012-12-07,549.849976,557.200012,549.849976,556.359985,533.332764,72869
2012-12-10,557.599976,558.400024,550.099976,553.380005,530.476135,231955
2012-12-11,560.000000,560.000000,545.000000,548.950012,526.229492,278011
2012-12-13,548.950012,556.799988,545.000000,554.280029,531.338867,72621
2012-12-14,553.419983,558.000000,552.000000,555.690002,532.690491,53874
2012-12-17,553.000000,559.200012,553.000000,558.250000,535.144592,252712
2012-12-18,553.020020,566.799988,553.020020,557.969971,534.876099,301757
2012-12-19,559.799988,560.400024,551.599976,556.799988,533.754578,78462
2012-12-20,558.900024,559.200012,550.200012,556.859985,533.812073,42380
2012-12-21,550.000000,567.400024,548.359985,559.580017,536.419434,122520
2012-12-24,559.000000,562.200012,550.260010,557.469971,534.396851,11578
2012-12-26,557.469971,560.219971,555.479980,557.320007,534.253113,12824
2012-12-27,559.520020,562.099976,550.750000,553.000000,530.111877,29116
2012-12-28,556.979980,556.979980,548.059998,548.770020,526.056885,234162
2012-12-31,546.750000,558.000000,546.750000,550.299988,527.523560,10425
2013-01-02,552.239990,561.989990,548.000000,553.950012,531.022461,37501
2013-01-03,555.260010,557.940002,549.750000,552.330017,529.469604,264620
2013-01-04,553.349976,561.590027,550.299988,554.590027,531.635986,352918
2013-01-07,553.719971,560.000000,550.200012,559.729980,536.563232,266954
2013-01-08,560.200012,605.000000,557.099976,600.179993,575.339172,567236
2013-01-09,600.200012,618.000000,600.200012,603.710022,578.723022,357411
2013-01-10,604.109985,609.760010,593.000000,596.070007,571.399231,308521
2013-01-11,592.900024,599.200012,589.989990,596.020020,571.351257,250620
2013-01-14,597.309998,597.309998,575.400024,580.469971,556.444824,326586
2013-01-15,578.000000,581.070007,565.500000,574.380005,550.606934,309745
