0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,25.580000,25.719999,25.520000,25.610001,25.610001,2816474
2012-10-19,25.600000,25.799999,25.410000,25.719999,25.719999,2039476
2012-10-22,25.549999,25.600000,25.250000,25.309999,25.309999,3038220
2012-10-23,25.200001,25.420000,24.950001,25.000000,25.000000,5834454
2012-10-24,25.190001,26.020000,25.100000,25.950001,25.950001,3166403
2012-10-25,25.840000,26.540001,25.840000,26.260000,26.260000,4716451
2012-10-26,26.100000,26.500000,25.709999,25.860001,25.860001,6891251
2012-10-29,25.799999,25.799999,25.110001,25.309999,25.309999,1216539
2012-10-30,25.400000,25.670000,25.389999,25.520000,25.520000,9219914
2012-10-31,25.600000,26.250000,25.450001,26.100000,26.100000,6983842
2012-11-05,26.059999,26.750000,26.059999,26.650000,26.650000,5154886
2012-11-06,26.680000,26.799999,26.500000,26.580000,26.580000,2052073
2012-11-07,26.500000,26.500000,25.590000,26.000000,26.000000,3040987
2012-11-08,26.010000,26.200001,25.400000,25.740000,25.740000,3298588
2012-11-09,25.730000,25.900000,25.110001,25.299999,25.299999,2139621
2012-11-12,25.500000,25.500000,24.760000,25.080000,25.080000,1121563
2012-11-13,24.889999,25.440001,24.600000,25.290001,25.290001,3797770
2012-11-14,25.290001,25.750000,25.070000,25.129999,25.129999,4641578
2012-11-15,25.049999,25.129999,24.500000,24.709999,24.709999,4203884
2012-11-16,24.600000,25.020000,24.500000,24.940001,24.940001,1248242
2012-11-20,24.910000,25.639999,24.750000,25.440001,25.440001,2779490
2012-11-21,25.549999,25.680000,25.410000,25.590000,25.590000,2483745
2012-11-22,25.719999,25.750000,25.500000,25.690001,25.690001,1898202
2012-11-23,25.740000,26.200001,25.719999,26.120001,26.120001,1927934
2012-11-26,26.000000,26.500000,25.790001,26.150000,26.150000,2449542
2012-11-27,26.100000,26.370001,25.850000,25.969999,25.969999,1995717
2012-11-28,26.040001,26.150000,25.799999,25.860001,25.860001,3297219
2012-11-29,25.850000,26.150000,25.360001,25.590000,25.590000,2751432
2012-11-30,25.600000,25.950001,25.540001,25.719999,25.719999,5376247
2012-12-03,25.700001,26.490000,25.690001,26.260000,26.260000,3383612
2012-12-04,26.260000,26.549999,26.110001,26.340000,26.340000,1787845
2012-12-05,26.219999,26.559999,26.049999,26.510000,26.510000,2594300
