0,Open,High,Low,Close,Adj Close,Volume
2013-10-16,27.500000,30.500000,27.500000,29.590000,25.975258,806879104
2013-10-17,29.500000,29.900000,29.100000,29.309999,25.729464,12694369
2013-10-18,29.420000,29.590000,29.120001,29.250000,25.676788,6486160
2013-10-21,29.250000,29.299999,29.080000,29.150000,25.589008,8942747
2013-10-22,29.230000,29.500000,28.910000,29.480000,25.878696,19074528
2013-10-23,29.580000,29.580000,29.100000,29.190001,25.624121,9136585
2013-10-24,29.200001,29.200001,28.809999,28.969999,25.430996,5747809
2013-10-25,29.200001,29.200001,28.889999,28.920000,25.387106,5795202
2013-10-28,29.150000,29.450001,28.750000,28.879999,25.351994,2154551
2013-10-29,28.850000,29.170000,28.799999,29.070000,25.518776,10644312
2013-10-30,29.100000,29.110001,28.889999,28.950001,25.413437,4630540
2013-10-31,28.900000,29.049999,27.500000,28.980000,25.439772,68244516
2013-11-01,29.000000,30.090000,29.000000,29.950001,26.291279,3617962
2013-11-04,29.950001,30.200001,29.600000,29.889999,26.238607,3533401
2013-11-05,29.900000,29.980000,29.570000,29.670000,26.157059,3159251
2013-11-06,29.700001,29.950001,29.580000,29.889999,26.351015,2507391
2013-11-07,29.940001,30.000000,29.500000,29.799999,26.271667,2868660
2013-11-08,29.500000,29.700001,28.799999,29.010000,25.575197,2021278
2013-11-11,29.010000,29.500000,29.010000,29.309999,25.839689,664326
2013-11-12,29.309999,29.450001,29.059999,29.370001,25.892580,1006655
2013-11-13,29.450001,29.450001,29.000000,29.150000,25.698626,1228214
2013-11-14,29.180000,29.900000,29.000000,29.540001,26.042452,2333370
2013-11-15,29.740000,29.740000,29.000000,29.170000,25.716259,1557639
2013-11-19,29.190001,29.370001,29.010000,29.170000,25.716259,557578
2013-11-20,29.290001,29.500000,28.889999,29.010000,25.575197,1544414
2013-11-21,29.270000,29.270000,28.610001,28.900000,25.478230,1874788
2013-11-22,28.900000,29.190001,28.600000,29.100000,25.654552,1267890
2013-11-25,29.260000,29.570000,28.900000,29.100000,25.654552,3583654
2013-11-26,29.270000,29.290001,28.900000,29.000000,25.566389,631674
2013-11-27,29.000000,29.200001,28.910000,28.990000,25.557573,2841099
2013-11-28,29.110001,29.110001,28.709999,28.950001,25.522314,1133886
2013-11-29,29.000000,29.250000,28.809999,29.090000,25.645733,1016264
2013-12-02,29.000000,29.000000,28.350000,28.870001,25.451784,847061
2013-12-03,28.530001,29.000000,28.530001,28.820000,25.407703,5446775
2013-12-04,28.990000,29.070000,28.400000,29.010000,25.575197,761697
2013-12-05,29.100000,29.100000,28.610001,28.750000,25.345989,707433
2013-12-06,28.930000,29.000000,28.600000,28.809999,25.398886,1092802
2013-12-09,28.809999,29.000000,28.780001,28.900000,25.478230,288266
2013-12-10,28.900000,29.000000,28.750000,28.889999,25.469414,1691285
2013-12-11,28.900000,29.000000,28.620001,28.900000,25.478230,799172
2013-12-13,28.610001,29.000000,28.549999,28.700001,25.301910,1710158
2013-12-16,28.990000,29.000000,28.500000,28.950001,25.522314,1684210
2013-12-17,28.530001,28.889999,28.530001,28.650000,25.710760,1001687
2013-12-18,28.650000,28.850000,28.590000,28.760000,25.809479,1141220
2013-12-19,28.760000,28.860001,28.389999,28.530001,25.603075,2336971
2013-12-20,28.700001,29.000000,28.250000,28.650000,25.710760,9586866
2013-12-23,28.709999,28.799999,28.400000,28.610001,25.674871,17984683
2013-12-26,28.750000,28.830000,28.430000,28.680000,25.737688,2117489
2013-12-27,28.799999,28.980000,28.559999,28.719999,25.773581,3355886
2013-12-30,28.750000,28.959999,28.600000,28.940001,25.971012,9924237
2014-01-02,28.930000,28.980000,28.830000,28.900000,25.935118,7486882
2014-01-03,28.950001,29.250000,28.930000,29.150000,26.159468,1878602
2014-01-06,29.049999,29.490000,28.940001,29.190001,26.195366,1735072
2014-01-07,29.330000,29.490000,28.610001,28.790001,25.836403,1324220
2014-01-08,28.790001,28.940001,28.639999,28.799999,25.845375,1830060
2014-01-09,28.940001,28.940001,28.350000,28.510000,25.585123,626176
2014-01-10,28.530001,28.940001,28.389999,28.870001,25.908195,1811276
2014-01-13,28.940001,28.959999,28.500000,28.790001,25.836403,4647728
2014-01-14,28.930000,28.930000,28.600000,28.799999,25.845375,695250
2014-01-15,28.900000,28.969999,28.709999,28.850000,25.890253,990235
2014-01-16,28.719999,28.980000,28.600000,28.790001,25.836403,1202853
2014-01-17,28.790001,28.799999,28.600000,28.740000,25.791531,315532
2014-01-20,28.799999,28.980000,28.700001,28.879999,25.917166,536176
