0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,63.834099,63.834099,62.536598,63.024399,56.556717,4869832
2012-10-19,63.024399,63.365799,62.487801,63.102402,56.626701,3958615
2012-10-22,63.121899,63.151199,62.243900,62.409801,56.005184,2140955
2012-10-23,62.224400,62.536598,61.463402,62.380501,56.068722,2326408
2012-10-24,63.102402,63.951199,62.341499,63.775600,57.414715,2819724
2012-10-25,63.980499,64.195099,62.926800,63.609798,57.265430,1701556
2012-10-26,63.746300,63.902401,62.985401,63.775600,57.414715,2396432
2012-10-29,62.975601,63.804901,62.536598,63.414600,57.089714,1116116
2012-10-30,63.414600,63.756100,63.141499,63.385399,57.063423,1323555
2012-10-31,63.385399,63.902401,63.034100,63.307301,56.993114,3661092
2012-11-05,63.336601,63.551201,62.448799,62.741501,56.483746,1686722
2012-11-06,62.751202,63.336601,62.497601,62.692699,56.439812,3275527
2012-11-07,62.019501,62.692699,60.731701,61.190201,55.087177,7971775
2012-11-08,61.190201,61.853699,59.687801,59.931702,53.954197,5404052
2012-11-09,60.195099,60.575600,59.414600,60.087799,54.094715,5121634
2012-11-12,60.487801,60.780499,59.561001,59.931702,53.954197,4893490
2012-11-13,59.951199,60.380501,59.834099,60.146301,54.147392,3230966
2012-11-14,60.478100,60.682899,59.668301,59.892700,53.919071,1330858
2012-11-15,59.619499,60.380501,58.731701,59.092701,53.198872,2695493
2012-11-16,59.453701,60.165901,58.731701,59.931702,53.954197,2914243
2012-11-20,61.648800,61.765900,60.478100,61.424400,55.298008,4412305
2012-11-21,61.424400,62.136600,61.053699,61.892700,55.719597,4312451
2012-11-22,62.156101,62.224400,61.463402,61.678101,55.526409,1585401
2012-11-23,61.365799,61.365799,60.107300,60.546299,54.507481,2970737
2012-11-26,60.497601,61.609798,60.478100,60.907299,54.832481,1067483
2012-11-27,61.453701,61.609798,60.380501,61.229301,55.122375,3042304
2012-11-28,61.599998,62.195099,61.112202,62.097599,55.904060,3082523
2012-11-29,62.292702,62.878101,62.146301,62.653702,56.404697,2642450
2012-11-30,63.024399,65.463402,63.024399,65.034103,58.547684,29780442
2012-12-03,64.380501,66.829300,64.048798,66.439003,59.812458,5530928
2012-12-04,66.419502,67.073196,65.434196,66.819504,60.154999,2912781
2012-12-05,67.024399,68.195099,66.341499,67.609802,60.866489,3726858
2012-12-06,67.512199,68.000000,66.273201,66.663399,60.014473,2068903
2012-12-07,66.019501,67.414597,66.019501,67.170700,60.471191,1916805
2012-12-10,66.497597,67.804901,66.497597,67.541496,60.805000,2420995
2012-12-11,67.317101,70.243896,67.317101,68.468300,61.639366,4528837
2012-12-13,67.795097,69.668297,67.795097,69.424400,62.500092,2797808
2012-12-14,69.307297,69.648804,68.195099,68.965897,62.087322,3108749
2012-12-17,69.658501,71.219498,69.180496,70.868301,63.799980,3596617
2012-12-18,71.121902,73.365898,70.848801,73.082901,65.793709,4718117
2012-12-19,72.770699,73.609802,71.414597,73.209801,65.907928,5407807
2012-12-20,72.556099,74.243896,71.317101,71.687798,64.537773,3573568
2012-12-21,71.414597,71.424400,69.902397,70.087799,63.097340,5760470
2012-12-24,69.736603,70.341499,69.668297,69.765800,62.807438,458929
2012-12-26,69.756104,70.809799,69.756104,70.019501,63.035831,568072
2012-12-27,69.775597,70.809799,69.697601,70.019501,63.035831,1014769
2012-12-28,70.731697,71.082901,69.658501,69.921997,62.948059,1226779
2012-12-31,69.921997,70.692703,69.658501,70.351196,63.334476,534763
2013-01-02,70.858498,73.170700,70.858498,73.034103,65.749771,2199509
2013-01-03,73.131699,73.951202,72.263397,73.785400,66.426140,3224234
2013-01-04,73.658501,74.000000,72.692703,73.873199,66.505196,2008135
2013-01-07,73.746300,73.756104,72.302399,72.526802,65.293068,2559240
2013-01-08,72.195099,72.195099,69.268303,70.556099,63.518921,7190369
2013-01-09,70.468300,71.209801,70.292702,70.614601,63.571606,5586535
2013-01-10,71.209801,71.209801,69.268303,69.482903,62.552765,4477855
2013-01-11,69.492699,70.926804,69.492699,70.800003,63.738499,3761240
2013-01-14,71.512199,72.039001,70.253700,71.161003,64.063499,2405099
2013-01-15,71.024399,71.082901,69.765800,70.497597,63.466255,1535047
2013-01-16,70.731697,71.473198,70.634102,71.034103,63.949245,3664173
2013-01-17,72.058502,72.878098,72.058502,72.751198,65.495071,4845569
2013-01-18,72.790199,73.092697,72.400002,72.819504,65.556564,2243079
2013-01-21,72.819504,72.819504,71.804901,72.224403,65.020828,1067155
2013-01-22,72.048798,73.024399,71.980499,72.956100,65.788849,2819061
2013-01-23,72.917099,72.917099,71.814598,72.351196,65.243370,2072002
2013-01-24,72.292702,72.673203,71.512199,72.048798,64.970695,1769043
2013-01-25,72.390198,72.390198,70.956100,71.463402,64.442818,1411462
2013-01-28,71.804901,71.814598,69.834198,70.097603,63.211193,4442689
2013-01-29,69.873199,70.575600,69.873199,70.029297,63.149597,3274355
2013-01-30,70.029297,70.234200,69.756104,69.814598,62.955986,1527224
2013-01-31,70.234200,70.243896,69.521896,70.165802,63.272694,3755711
2013-02-01,70.234200,70.634102,69.170700,69.707298,62.859230,3092911
2013-02-05,69.619499,70.243896,69.473198,70.234200,63.334373,3650807
2013-02-06,70.175598,70.243896,67.580498,68.302399,61.592327,7145319
2013-02-07,67.307297,67.307297,63.922001,64.302399,57.985306,23840344
2013-02-08,64.390198,64.858498,64.224403,64.292702,57.976551,4653890
2013-02-11,63.639000,63.912201,61.853699,62.019501,55.926678,10772788
2013-02-12,61.931702,62.068298,61.414600,61.570702,55.521965,5019250
2013-02-13,62.019501,64.341499,61.707298,64.078003,57.782944,7606493
2013-02-14,64.185402,64.292702,63.512199,63.843899,57.571850,4732749
2013-02-15,64.165802,64.282898,63.843899,64.078003,57.782944,3259290
2013-02-18,64.078003,64.341499,63.853699,63.970699,57.686184,869136
2013-02-19,64.039001,64.312202,62.936600,63.238998,57.026375,3141623
2013-02-20,63.024399,63.590199,62.468300,62.585400,56.436989,2647526
2013-02-21,62.722000,62.887798,61.473202,62.097599,55.997101,2961158
2013-02-22,62.165901,63.843899,62.165901,63.502399,57.263901,7497716
2013-02-25,63.317101,64.000000,63.170700,63.336601,57.114388,1430244
2013-02-26,63.473202,64.000000,62.946301,63.424400,57.193558,2754302
2013-02-27,63.795101,63.795101,63.024399,63.297600,57.079212,4116917
2013-02-28,63.219501,63.219501,62.146301,62.429298,56.296215,5753343
2013-03-01,62.058498,62.341499,58.829300,59.024399,53.225819,11971664
2013-03-04,59.482899,59.482899,57.561001,58.390202,52.653934,8099746
2013-03-05,58.643902,61.414600,58.634201,61.229301,55.214111,13299405
2013-03-06,61.561001,62.858501,61.561001,62.673199,56.516155,7106356
2013-03-07,62.829300,62.829300,61.902401,62.507301,56.366554,3389586
2013-03-08,62.585400,63.395100,62.126801,63.141499,56.938446,3251626
2013-03-11,63.141499,63.502399,62.000000,63.063400,56.868023,3638868
2013-03-12,63.024399,63.463402,62.370701,63.180500,56.973610,2296121
2013-03-13,63.317101,63.414600,62.741501,63.063400,56.868023,3645981
2013-03-14,62.702400,63.414600,62.487801,63.034100,56.841602,2845479
2013-03-15,63.034100,63.404900,61.951199,62.409801,56.278637,5125810
2013-03-19,62.926800,63.053699,61.561001,61.873199,55.794758,3071210
2013-03-20,61.970699,62.351200,60.604900,61.248798,55.231689,3483319
2013-03-21,61.248798,61.248798,60.663399,61.024399,55.029331,4925041
2013-03-22,61.024399,62.448799,60.195099,62.273201,56.155453,3553153
2013-03-25,62.282902,62.731701,62.282902,62.624401,56.472157,1648517
2013-03-26,62.731701,65.356102,62.634201,64.838997,58.469181,6484272
2013-03-27,64.751198,65.804901,64.380501,64.634102,58.284420,4172899
2013-04-01,64.536598,65.092697,63.346298,63.599998,57.351910,1649530
2013-04-02,63.599998,64.078003,62.731701,63.375599,57.149555,3306822
2013-04-03,63.404900,63.892700,63.209801,63.395100,57.167133,3048356
2013-04-04,62.936600,63.785400,62.936600,63.209801,57.000038,2892767
2013-04-05,62.546299,62.907299,62.058498,62.380501,56.252209,2597365
2013-04-08,62.048801,62.438999,61.326801,61.453701,55.416458,2811926
2013-04-09,61.365799,61.570702,60.292702,60.351200,54.422272,10707233
2013-04-10,60.400002,60.780499,58.653702,58.848801,53.067474,11485969
2013-04-11,58.975601,59.561001,58.643902,59.346298,53.516087,5999171
2013-04-12,59.346298,60.878101,59.346298,60.585400,54.633465,3239410
2013-04-15,60.429298,60.429298,58.829300,59.248798,53.428177,1421513
2013-04-16,59.502399,60.039001,59.424400,59.863400,53.982395,1233825
2013-04-17,59.775600,60.195099,58.936600,59.160999,53.348991,2469248
2013-04-18,59.024399,59.219501,56.585400,57.658501,51.994114,4528508
2013-04-19,58.390202,59.024399,57.804901,58.575600,52.821106,3718670
2013-04-22,58.829300,59.853699,58.536598,59.473202,53.630524,1306183
2013-04-23,59.756100,60.643902,59.512199,60.526798,54.690971,2765177
2013-04-24,59.561001,60.634201,59.238998,59.580502,53.835907,2569904
2013-04-25,59.580502,60.487801,59.385399,60.419498,54.594013,3395057
2013-04-26,60.126801,60.487801,59.941502,59.990200,54.206116,1290538
2013-04-29,60.000000,60.487801,59.024399,60.165901,54.364861,1492267
2013-04-30,59.414600,60.663399,59.414600,60.380501,54.558777,4189118
2013-05-02,60.585400,60.663399,59.541500,59.795101,54.029823,3712520
2013-05-03,60.097599,60.478100,59.248798,59.385399,53.659618,4615414
2013-05-06,59.092701,59.707298,58.829300,58.985401,53.298183,1469712
2013-05-07,59.346298,59.960999,59.034100,59.853699,54.082767,3306598
2013-05-08,59.561001,60.380501,59.317101,59.463402,53.730099,3022422
2013-05-09,59.970699,60.243900,58.712200,59.609798,53.862385,3275031
2013-05-10,59.902401,59.990200,59.317101,59.639000,53.888771,3498537
2013-05-13,59.278000,59.970699,58.780499,58.897598,53.218853,2819866
2013-05-14,58.897598,59.317101,58.312199,58.536598,52.892654,2794421
2013-05-15,58.536598,58.731701,57.102402,57.375599,51.843605,4889690
2013-05-16,57.092701,57.980499,56.595100,56.848801,51.367599,2754875
2013-05-17,57.131699,57.200001,55.609798,55.697601,50.327381,6696616
2013-05-20,55.707298,55.707298,52.702400,53.112202,47.991261,10229317
2013-05-21,53.073200,53.551201,51.512199,52.722000,47.638695,7028927
2013-05-22,52.985401,54.585400,52.985401,54.331699,49.093185,7633490
2013-05-23,53.658501,54.897598,53.180500,54.868301,49.578049,4771694
2013-05-24,54.868301,55.121899,54.146301,54.975601,49.675003,2452319
2013-05-27,54.995098,55.375599,53.658501,55.258499,49.930630,768819
2013-05-28,55.648800,56.380501,54.604900,56.097599,50.688820,2999694
2013-05-29,55.609798,56.331699,54.819500,55.531700,50.177479,2071348
2013-05-30,55.609798,56.478100,55.170700,55.609798,50.248058,2522187
2013-05-31,55.599998,57.639000,54.926800,57.326801,51.799503,6682794
2013-06-03,57.268299,57.268299,56.195099,56.604900,51.147205,3018074
2013-06-04,56.682899,57.190201,55.151199,55.395100,50.054054,2500751
2013-06-05,55.668301,56.009800,53.512199,53.756100,48.573078,4370046
2013-06-06,53.658501,55.609798,53.073200,55.160999,49.842525,3385007
2013-06-07,55.492699,55.873199,54.146301,54.448799,49.199001,2410021
2013-06-10,54.448799,55.102402,53.853699,54.341499,49.102032,2451213
2013-06-11,54.048801,54.302399,53.219501,53.678101,48.502602,2364271
2013-06-12,54.634201,54.634201,51.424400,51.765900,46.774769,3160246
2013-06-13,51.521900,53.063400,51.521900,52.497601,47.435928,4141042
2013-06-14,52.585400,53.395100,51.902401,52.458500,47.400589,3433613
2013-06-17,52.585400,53.082901,51.990200,52.214600,47.180210,2362651
2013-06-18,52.097599,52.829300,50.839001,51.043900,46.122391,2536038
2013-06-19,51.219501,51.599998,49.463402,50.282902,45.434765,2996724
2013-06-20,50.000000,51.326801,48.780499,50.390202,45.531715,6624982
2013-06-21,50.438999,52.390202,50.243900,52.048801,47.030399,10469427
2013-06-24,51.707298,51.707298,50.390202,51.151199,46.219345,4395246
2013-06-25,51.278000,51.346298,50.400002,50.624401,45.743332,4087775
2013-06-26,50.878101,52.195099,50.878101,51.395100,46.439728,4071914
2013-06-27,51.648800,52.956100,51.648800,52.058498,47.039165,3904101
2013-06-28,52.058498,53.473202,51.219501,52.673199,47.594593,6362549
2013-07-01,52.722000,55.092701,52.390202,54.829300,49.542812,3827273
2013-07-02,54.819500,56.087799,53.756100,55.502399,50.151012,6511073
2013-07-03,55.395100,56.243900,54.341499,56.165901,50.750534,2692259
2013-07-04,56.165901,56.741501,55.834099,56.536598,51.085491,1077533
2013-07-05,56.770699,56.770699,52.780499,55.063400,49.754341,4942534
2013-07-08,54.634201,54.839001,53.082901,53.209801,48.079456,2477420
2013-07-09,53.268299,53.648800,51.570702,51.717098,46.730679,3080509
2013-07-10,51.580502,52.097599,51.219501,51.570702,46.598404,2700053
2013-07-11,52.292702,52.702400,51.853699,52.039001,47.021545,2512815
2013-07-12,52.000000,52.195099,51.238998,51.648800,46.668972,4463515
2013-07-15,51.561001,53.707298,51.512199,52.273201,47.233166,2158664
2013-07-16,52.097599,52.887798,51.443901,52.565800,47.497547,1767790
2013-07-17,52.829300,53.658501,52.351200,53.434200,48.282223,2479248
2013-07-18,53.424400,53.551201,53.014599,53.317101,48.176418,2750479
2013-07-19,53.317101,53.317101,52.204899,52.868301,47.770889,790220
2013-07-22,52.868301,55.268299,52.497601,54.878101,49.586899,4015265
2013-07-23,54.936600,55.521900,54.936600,55.473202,50.234467,2737785
2013-07-24,55.414600,56.380501,55.121899,56.312199,50.994240,5079332
2013-07-25,56.282902,56.585400,55.287800,56.448799,51.117939,2525267
2013-07-26,56.146301,56.878101,55.629299,56.673199,51.321140,2160783
2013-07-29,56.117100,57.034100,55.346298,55.443901,50.207943,1609601
2013-07-30,56.087799,56.087799,55.219501,55.619499,50.366951,651405
2013-07-31,55.229301,58.799999,55.229301,58.312199,52.805367,5961738
2013-08-01,58.058498,61.853699,58.058498,59.707298,54.068714,8239606
2013-08-02,59.512199,61.170700,59.317101,60.878101,55.128948,5788019
2013-08-05,60.878101,60.878101,60.000000,60.624401,54.899208,1487172
2013-08-06,60.614601,61.853699,60.107300,61.375599,55.579460,5258437
2013-08-07,61.170700,61.951199,60.224400,61.629299,55.809208,3371702
2013-08-08,61.658501,62.907299,61.658501,62.575600,56.666138,4941058
2013-08-09,62.917099,63.707298,62.409801,63.063400,57.107880,3394475
