0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,68.480003,68.940002,68.209999,68.199997,63.881485,940454
2012-10-19,68.300003,68.400002,67.599998,67.930000,63.628586,2085329
2012-10-22,68.000000,68.250000,67.860001,68.029999,63.722252,303984
2012-10-23,68.000000,68.300003,67.809998,68.150002,63.834660,501144
2012-10-24,68.300003,68.489998,68.250000,68.400002,64.068832,920844
2012-10-25,68.410004,68.589996,68.000000,68.309998,63.984524,313644
2012-10-26,68.400002,68.400002,68.000000,68.000000,63.694149,117581
2012-10-29,68.879997,68.879997,68.000000,68.160004,63.844025,200082
2012-10-30,68.199997,68.500000,68.000000,68.099998,63.787823,142513
2012-10-31,68.099998,68.099998,67.900002,67.980003,63.675419,254832
2012-11-05,67.900002,68.300003,67.800003,67.989998,63.684792,247731
2012-11-06,68.000000,68.000000,67.750000,67.820000,63.525547,328194
2012-11-07,67.800003,67.970001,67.010002,67.470001,63.197712,359034
2012-11-08,67.699997,67.970001,67.570000,67.589996,63.310112,433599
2012-11-09,67.599998,67.680000,67.269997,67.349998,63.085320,253166
2012-11-12,67.400002,67.400002,67.199997,67.300003,63.038479,597484
2012-11-13,66.989998,67.800003,66.519997,67.440002,63.169613,1485125
2012-11-14,67.500000,68.000000,67.099998,67.570000,63.291382,404777
2012-11-15,67.449997,67.790001,66.599998,67.019997,62.776203,1780978
2012-11-16,67.059998,67.730003,66.900002,67.610001,63.328850,543315
2012-11-20,67.900002,69.400002,67.900002,69.029999,64.658928,2453226
2012-11-21,69.000000,69.900002,69.000000,69.720001,65.305252,2400894
2012-11-22,69.720001,71.000000,69.510002,70.279999,65.829781,292210
2012-11-23,71.000000,74.779999,70.500000,74.379997,69.670158,1108449
2012-11-26,75.000000,75.410004,74.500000,74.900002,70.157242,1169748
2012-11-27,74.989998,75.699997,74.949997,75.139999,70.382042,821281
2012-11-28,75.199997,75.949997,74.940002,75.699997,70.906578,279050
2012-11-29,75.690002,78.269997,75.690002,77.070000,72.189827,987299
2012-11-30,77.370003,78.239998,75.599998,77.629997,72.714363,923062
2012-12-03,77.709999,78.300003,77.000000,77.250000,72.358429,414456
2012-12-04,77.000000,79.800003,76.940002,79.160004,74.147499,324316
2012-12-05,79.500000,80.699997,78.989998,79.739998,74.690765,1123397
2012-12-06,79.750000,82.800003,79.000000,81.269997,76.123878,839808
2012-12-07,81.699997,82.000000,81.000000,81.620003,76.451721,159301
2012-12-10,81.970001,82.010002,81.339996,81.550003,76.386154,355303
2012-12-11,82.029999,85.000000,80.800003,82.900002,77.650673,725247
2012-12-13,82.900002,84.900002,82.889999,83.489998,78.203308,481850
2012-12-14,84.900002,84.900002,82.540001,82.709999,77.472702,370582
2012-12-17,83.000000,83.000000,82.400002,82.709999,77.472702,249771
2012-12-18,83.500000,83.500000,82.099998,82.419998,77.201065,431661
2012-12-19,82.599998,82.800003,81.980003,82.660004,77.425865,807835
2012-12-20,82.250000,82.699997,82.000000,82.379997,77.163582,248292
2012-12-21,81.989998,85.000000,81.889999,83.809998,78.503036,517205
2012-12-24,83.599998,84.510002,83.599998,84.500000,79.149361,166556
2012-12-26,84.599998,84.830002,84.019997,84.180000,78.849617,40376
2012-12-27,84.500000,84.690002,83.269997,84.360001,79.018219,129689
2012-12-28,84.000000,84.790001,84.000000,84.290001,78.952652,132429
2012-12-31,84.000000,88.000000,84.000000,86.199997,80.741707,109299
2013-01-02,86.199997,88.970001,86.199997,87.220001,81.697113,352580
2013-01-03,88.000000,88.570000,86.559998,87.879997,82.315323,878940
2013-01-04,88.239998,89.000000,88.239998,88.989998,83.355042,1702356
2013-01-07,88.889999,88.889999,85.000000,88.300003,82.708733,398298
2013-01-08,88.000000,88.250000,86.209999,87.230003,81.706497,694310
2013-01-09,87.610001,88.000000,87.500000,87.989998,82.418358,1566209
2013-01-10,88.500000,90.000000,87.599998,89.430000,83.767189,1110130
2013-01-11,89.430000,89.650002,89.199997,89.300003,83.645416,2402920
2013-01-14,89.000000,89.970001,88.839996,89.500000,83.832741,532302
2013-01-15,89.290001,89.500000,87.400002,87.949997,82.380898,179699
2013-01-16,89.000000,89.000000,87.800003,88.980003,83.345673,193879
2013-01-17,89.000000,89.589996,88.750000,88.870003,83.242630,200038
2013-01-18,89.000000,89.699997,88.849998,89.680000,84.001343,373890
2013-01-21,89.699997,89.699997,88.849998,89.099998,83.458076,134592
