,Fecha,CETES28
0,2010-01-07,4.5
1,2010-01-14,4.5
2,2010-01-21,4.49
3,2010-01-28,4.48
4,2010-02-04,4.47
5,2010-02-11,4.49
6,2010-02-18,4.49
7,2010-02-25,4.49
8,2010-03-04,4.49
9,2010-03-11,4.41
10,2010-03-18,4.43
11,2010-03-25,4.46
12,2010-03-31,4.45
13,2010-04-08,4.43
14,2010-04-15,4.41
15,2010-04-22,4.46
16,2010-04-29,4.45
17,2010-05-06,4.49
18,2010-05-13,4.49
19,2010-05-20,4.53
20,2010-05-27,4.55
21,2010-06-03,4.58
22,2010-06-10,4.59
23,2010-06-17,4.6
24,2010-06-24,4.59
25,2010-07-01,4.6
26,2010-07-08,4.59
27,2010-07-15,4.59
28,2010-07-22,4.59
29,2010-07-29,4.6
30,2010-08-05,4.56
31,2010-08-12,4.54
32,2010-08-19,4.5
33,2010-08-26,4.47
34,2010-09-02,4.48
35,2010-09-09,4.48
36,2010-09-15,4.45
37,2010-09-23,4.36
38,2010-09-30,4.36
39,2010-10-07,4.18
40,2010-10-14,4.05
41,2010-10-21,4.03
42,2010-10-28,3.84
43,2010-11-04,3.85
44,2010-11-11,3.92
45,2010-11-18,3.94
46,2010-11-25,4.17
47,2010-12-02,4.35
48,2010-12-09,4.16
49,2010-12-16,4.18
50,2010-12-23,4.38
51,2010-12-30,4.45
52,2011-01-06,4.16
53,2011-01-13,4.2
54,2011-01-20,4.13
55,2011-01-27,4.05
56,2011-02-03,4.04
57,2011-02-10,4.05
58,2011-02-17,3.94
59,2011-02-24,4.14
60,2011-03-03,4.22
61,2011-03-10,4.28
62,2011-03-17,4.24
63,2011-03-24,4.3
64,2011-03-31,4.3
65,2011-04-07,4.26
66,2011-04-14,4.28
67,2011-04-20,4.33
68,2011-04-28,4.24
69,2011-05-05,4.24
70,2011-05-12,4.27
71,2011-05-19,4.34
72,2011-05-26,4.39
73,2011-06-02,4.43
74,2011-06-09,4.37
75,2011-06-16,4.38
76,2011-06-23,4.35
77,2011-06-30,4.33
78,2011-07-07,4.18
79,2011-07-14,4.15
80,2011-07-21,4.15
81,2011-07-28,4.08
82,2011-08-04,3.96
83,2011-08-11,3.99
84,2011-08-18,4.09
85,2011-08-25,4.17
86,2011-09-01,4.11
87,2011-09-08,4.17
88,2011-09-15,4.25
89,2011-09-22,4.27
90,2011-09-29,4.34
91,2011-10-06,4.35
92,2011-10-13,4.37
93,2011-10-20,4.35
94,2011-10-27,4.37
95,2011-11-03,4.38
96,2011-11-10,4.35
97,2011-11-17,4.35
98,2011-11-24,4.32
99,2011-12-01,4.39
100,2011-12-08,4.33
101,2011-12-15,4.33
102,2011-12-22,4.33
103,2011-12-29,4.31
104,2012-01-05,4.32
105,2012-01-12,4.26
106,2012-01-19,4.27
107,2012-01-26,4.24
108,2012-02-02,4.24
109,2012-02-09,4.34
110,2012-02-16,4.36
111,2012-02-23,4.35
112,2012-03-01,4.27
113,2012-03-08,4.27
114,2012-03-15,4.18
115,2012-03-22,4.21
116,2012-03-29,4.28
117,2012-04-04,4.25
118,2012-04-12,4.26
119,2012-04-19,4.33
120,2012-04-26,4.33
121,2012-05-03,4.33
122,2012-05-10,4.34
123,2012-05-17,4.42
124,2012-05-24,4.42
125,2012-05-31,4.44
126,2012-06-07,4.35
