0,Open,High,Low,Close,Adj Close,Volume
2012-10-18,16.799999,17.049999,16.68,17.01,14.637668,127248160
2012-10-19,16.98,17.030001000000002,16.85,16.950001,14.586035999999998,50417290
2012-10-22,16.99,17.01,16.790001,16.85,14.499982999999999,52664011
2012-10-23,16.77,16.950001,16.66,16.860001,14.508588,34541270
2012-10-24,16.870001000000002,16.99,16.74,16.940001000000002,14.577433,43267722
2012-10-25,16.950001,17.01,16.540001,16.6,14.284849,57087964
2012-10-26,16.73,16.84,16.549999,16.700001,14.370901000000002,28514102
2012-10-29,16.700001,16.700001,16.6,16.65,14.327875,16970986
2012-10-30,16.799999,16.799999,16.52,16.59,14.276245000000001,22267043
2012-10-31,16.6,16.84,16.49,16.629998999999998,14.310660999999998,143670936
2012-11-05,16.709999,16.860001,16.559998999999998,16.610001,14.293454,41931657
2012-11-06,16.51,16.690001000000002,16.4,16.469998999999998,14.172978,70513943
2012-11-07,16.459999,16.469998999999998,15.98,16.049999,13.811554999999998,88306729
2012-11-08,16.09,16.15,15.74,15.84,13.63084,144871471
2012-11-09,15.86,15.86,15.59,15.73,13.536181,112978971
2012-11-12,15.7,15.75,15.64,15.68,13.493157,40906130
2012-11-13,15.51,15.67,15.45,15.59,13.50182,107928161
2012-11-14,15.59,15.7,15.42,15.46,13.389232999999999,61377791
2012-11-15,15.45,15.53,15.3,15.4,13.337267,76305127
2012-11-16,15.42,15.42,15.28,15.38,13.319947,78976803
2012-11-20,15.36,15.38,15.21,15.32,13.267983,123100961
2012-11-21,15.32,15.52,15.23,15.48,13.406551,124122417
2012-11-22,15.52,15.81,15.52,15.75,13.640386,44851847
2012-11-23,15.71,15.78,15.55,15.68,13.579764,48164370
2012-11-26,15.52,15.68,15.48,15.51,13.432535000000001,107080760
2012-11-27,15.55,15.56,15.37,15.39,13.328608,141530107
2012-11-28,15.39,15.41,15.16,15.36,13.302627,97145099
2012-11-29,15.41,15.48,15.3,15.46,13.389232999999999,118402354
2012-11-30,15.24,15.38,15.18,15.28,13.23334,352729083
2012-12-03,15.32,15.34,15.16,15.24,13.198697,101189134
2012-12-04,15.24,15.28,15.08,15.12,13.094773,91738222
2012-12-05,15.09,15.16,14.78,14.81,12.826294,97625743
2012-12-06,14.75,15.05,14.7,14.84,12.852276,86314273
2012-12-07,14.86,14.94,14.76,14.82,12.834953,72393748
2012-12-10,14.85,15.12,14.8,15.09,13.06879,85507211
2012-12-11,15.25,15.29,15.0,15.23,13.190038000000001,106642822
2012-12-13,15.26,15.38,15.2,15.32,13.267983,84637871
2012-12-14,15.25,15.33,15.15,15.17,13.138076000000002,49317521
2012-12-17,15.19,15.19,15.04,15.06,13.042808,87375772
2012-12-18,15.1,15.13,15.02,15.07,13.051468,98755905
2012-12-19,14.94,15.1,14.85,14.95,12.947541000000001,89496182
2012-12-20,14.92,15.0,14.75,14.83,12.843616,93486075
2012-12-21,14.74,15.08,14.73,15.02,13.008165,220538677
2012-12-24,14.96,15.02,14.78,14.85,12.860937,17029373
2012-12-26,14.85,14.95,14.81,14.9,12.904241,35072313
2012-12-27,14.9,14.93,14.81,14.86,12.869596000000001,70715753
2012-12-28,14.91,15.02,14.78,15.0,12.990844000000001,41821754
2012-12-31,15.0,15.0,14.76,14.9,12.904241,39597971
2013-01-02,14.96,15.03,14.75,14.91,12.912901,54620839
2013-01-03,14.85,15.09,14.8,15.06,13.042808,60831877
2013-01-04,15.08,15.51,15.0,15.48,13.406551,122709112
2013-01-07,15.37,15.62,15.21,15.56,13.475837,97653863
2013-01-08,15.49,15.6,15.41,15.58,13.493155999999999,118699439
2013-01-09,15.55,15.66,15.46,15.52,13.441195,86430959
2013-01-10,15.52,15.73,15.4,15.57,13.484498,86117836
2013-01-11,15.6,15.6,15.44,15.54,13.458513,71679861
2013-01-14,15.57,16.0,15.53,15.57,13.484498,79304873
2013-01-15,15.48,15.91,15.48,15.64,13.545122000000001,73558320
2013-01-16,15.51,15.72,15.49,15.64,13.545122000000001,58787700
2013-01-17,15.64,15.73,15.48,15.51,13.432535000000001,57249447
2013-01-18,15.51,15.59,15.45,15.56,13.475837,53945992
2013-01-21,15.56,15.59,15.52,15.57,13.484498,9066130
2013-01-22,15.63,15.78,15.46,15.75,13.640386,67162276
2013-01-23,15.71,15.84,15.6,15.79,13.67503,49061860
2013-01-24,15.77,15.87,15.77,15.82,13.701011,44048201
2013-01-25,15.82,15.99,15.78,15.95,13.813598,47162460
2013-01-28,15.89,16.0,15.84,15.95,13.813598,84245283
2013-01-29,15.97,16.030001000000002,15.8,15.97,13.83092,73465902
2013-01-30,15.95,16.040001,15.92,15.97,13.83092,55211917
2013-01-31,15.95,16.049999,15.91,15.97,13.83092,70249398
2013-02-01,16.15,16.26,15.96,16.190001000000002,14.021453,48857887
2013-02-05,16.0,16.049999,15.66,15.87,13.744316,113769507
