Date,Open,High,Low,Close,AdjClose,Volume
2013-12-18,28.870001,29.690001,28.870001,29.27,28.982063,1831298
2013-12-19,29.32,29.58,29.209999,29.48,29.189999,1197403
2013-12-20,29.48,30.5,29.450001,30.280001,29.982132,3511055
2013-12-23,30.200001,30.799999,29.91,30.66,30.358391,3486273
2013-12-26,30.5,30.5,29.700001,29.780001,29.487049,920670
2013-12-27,29.74,30,29.5,29.540001,29.249409,597476
2013-12-30,29.41,29.99,28.969999,29.57,29.279116,1432074
2014-01-02,29.48,29.82,29.07,29.530001,29.239508,759638
2014-01-03,29.379999,29.379999,28.83,28.969999,28.685015,915501
2014-01-06,28.799999,29.139999,28.6,28.690001,28.40777,792695
2014-01-07,28.67,29.139999,28.67,29.01,28.724625,1007594
2014-01-08,28.700001,29.76,28.68,29.709999,29.417738,1034849
2014-01-09,29.6,29.610001,28.860001,28.99,28.704817,2495502
2014-01-10,29.24,29.49,28.719999,29.200001,28.912754,991125
2014-01-13,28.9,29.15,28.719999,28.99,28.704817,814912
2014-01-14,28.74,29.299999,28.74,28.98,28.694918,850544
2014-01-15,29.190001,29.190001,28.4,28.540001,28.259247,2411675
2014-01-16,28.709999,28.709999,27.799999,27.93,27.655249,2848662
2014-01-17,27.83,28.280001,27.83,28.059999,27.783968,1691442
2014-01-20,28.049999,28.059999,27.91,27.98,27.704756,680191
2014-01-21,28.34,28.34,27.82,28.110001,27.833479,1530649
2014-01-22,27.83,28.15,27.700001,28.1,27.823576,932167
2014-01-23,27.809999,28.15,27.379999,28.1,27.823576,1256506
2014-01-24,28.02,28.030001,27.299999,27.58,27.308689,2201348
2014-01-27,27.6,27.610001,27,27.23,26.962133,1327731
2014-01-28,27.5,27.67,26.25,26.42,26.160101,1859690
2014-01-29,26.26,26.6,25.950001,26.389999,26.130396,2615004
2014-01-30,26.389999,26.99,26.110001,26.48,26.219509,3195485
2014-01-31,26.33,26.700001,26.059999,26.639999,26.377935,1984532
2014-02-04,26.299999,26.450001,26.049999,26.16,25.90266,1589316
2014-02-05,26.1,26.639999,25.92,26.059999,25.80364,2544144
2014-02-06,26.700001,26.700001,26.16,26.280001,26.021479,923361
2014-02-07,26.59,26.59,26,26.17,25.912561,672500
2014-02-10,26.15,26.360001,26,26.030001,25.773937,475640
2014-02-11,26.219999,26.49,25.9,26.059999,25.80364,2002964
2014-02-12,26.379999,26.639999,25.52,26.35,26.09079,2774863
2014-02-13,25.5,25.5,23.66,23.93,23.694595,9488313
2014-02-14,24.200001,25.049999,24.1,24.92,24.674856,3538930
2014-02-17,25,25.18,24.27,25.049999,24.803577,1243366
2014-02-18,25.1,25.1,24.200001,24.450001,24.209484,1772451
2014-02-19,24.450001,24.690001,23.07,23.389999,23.159908,3299550
2014-02-20,23.540001,23.540001,23.02,23.1,22.872763,3629792
2014-02-21,23.120001,24.01,23.01,23.84,23.605482,2441029
2014-02-24,24.1,24.4,23.74,24.08,23.843121,820316
2014-02-25,24.24,24.24,22.5,22.969999,22.74404,1971498
2014-02-26,23.190001,23.440001,22.6,22.68,22.456894,1309966
2014-02-27,23.23,23.23,22.5,22.709999,22.486595,2627458
2014-02-28,22.84,22.9,22.5,22.559999,22.338072,1090764
2014-03-03,22.559999,22.99,21.84,22.66,22.43709,2087795
2014-03-04,23.18,23.639999,22.91,23.450001,23.219318,2002381
2014-03-05,23.6,23.9,22.959999,23.040001,22.813353,1836028
2014-03-06,23.370001,23.68,23.15,23.35,23.120302,1285867
2014-03-07,23.610001,23.610001,23.01,23.23,23.001482,1608800
2014-03-10,23.280001,23.639999,22.49,23.49,23.258924,1119596
2014-03-11,23.469999,23.639999,22.74,22.98,22.753941,2374229
2014-03-12,23.16,23.16,22.5,22.51,22.288565,1356799
2014-03-13,22.719999,22.959999,21.540001,21.77,21.555843,1939544
2014-03-14,21.719999,21.799999,20.99,21.200001,20.991451,6554504
2014-03-18,21.309999,21.690001,21.15,21.5,21.2885,870943
2014-03-19,21.93,22.139999,21.41,21.93,21.71427,3015378
2014-03-20,21.51,22.5,21.51,22.41,22.189548,5911856
2014-03-21,22.5,23,22.5,22.91,22.684629,3803356
2014-03-24,22.950001,23.129999,22.6,22.709999,22.486595,1709460
2014-03-25,22.99,22.99,22.700001,22.76,22.536106,1894490
2014-03-26,22.75,22.91,22.01,22.17,21.95191,3270416
2014-03-27,22.549999,22.549999,22.02,22.309999,22.090532,1085592
2014-03-28,22.540001,22.719999,22.42,22.6,22.37768,1113126
2014-03-31,22.950001,23.35,22.549999,23.27,23.041088,2432100
2014-04-01,23.35,24.35,23.299999,23.870001,23.635187,3110977
2014-04-02,23.889999,24,23.450001,23.6,23.367846,2441188
2014-04-03,23.75,23.75,22.91,23.200001,22.971779,672527
2014-04-04,23.4,23.77,23.16,23.559999,23.328234,844945
2014-04-07,23.76,23.790001,23.059999,23.639999,23.407448,493494
2014-04-08,23.799999,23.85,23.200001,23.290001,23.06089,957950
2014-04-09,23.43,23.549999,23.18,23.34,23.110403,451613
2014-04-10,23.190001,23.4,23.110001,23.23,23.001482,595750
2014-04-11,23.200001,23.200001,22.34,22.49,22.268763,1575936
2014-04-14,22.6,22.65,22.1,22.110001,21.892502,608051
2014-04-15,22.129999,22.27,22,22.16,21.942007,667645
2014-04-16,21.9,22,21.25,21.92,21.70437,2638953
2014-04-21,22,22.129999,21.9,22,21.783581,914527
2014-04-22,22.049999,22.700001,22.049999,22.52,22.298468,3179948
2014-04-23,22.5,22.57,22.299999,22.4,22.179647,689494
2014-04-24,22.34,22.540001,22,22.040001,21.823187,1840036
2014-04-25,22.15,22.15,21.799999,21.84,21.625156,575227
2014-04-28,21.780001,21.969999,21.25,21.440001,21.22909,2637278
2014-04-29,21.610001,22.34,21.610001,22.26,22.041023,1463534
2014-04-30,22.41,22.68,22.1,22.5,22.278662,2453431
2014-05-02,22.6,22.99,22.34,22.610001,22.387583,1356683
2014-05-05,21.719999,22.790001,21.719999,22.77,22.546007,593812
2014-05-06,22.75,23.49,22.75,23.379999,23.150007,3115544
2014-05-07,23.440001,23.5,23.110001,23.49,23.258924,2155261
2014-05-08,23.6,23.6,23,23.02,22.793547,1443933
2014-05-09,23,23.5,22.879999,23.389999,23.159908,791538
2014-05-12,23.48,24.25,23.379999,23.969999,23.734201,2016407
2014-05-13,24.1,24.299999,24,24.18,23.942139,2281431
2014-05-14,24.27,24.98,23.99,24.5,24.258987,4021287
2014-05-15,24.49,24.629999,24,24.32,24.080761,1479619
2014-05-16,24.450001,24.889999,24.379999,24.780001,24.536232,1477498
2014-05-19,24.799999,24.98,24.700001,24.959999,24.714462,1204319
2014-05-20,24.98,25.1,24.799999,24.84,24.595646,737910
2014-05-21,25,25.110001,24.799999,24.889999,24.645151,663732
2014-05-22,24.950001,25,24.52,24.879999,24.635252,519010
2014-05-23,24.709999,24.85,24.49,24.809999,24.565937,653062
2014-05-26,24.969999,25.469999,24.940001,25.35,25.100626,1156574
2014-05-27,25.35,25.49,24.950001,25.059999,24.813478,1533246
2014-05-28,25.200001,25.200001,24.74,24.98,24.734266,1399705
