Date,Open,High,Low,Close,AdjClose,Volume
2013-12-18,38.950001,40.279999,38.5,40.130001,38.435532,1221630
2013-12-19,40.130001,40.400002,39.369999,40.16,38.464264,2038517
2013-12-20,40.16,40.799999,40.130001,40.470001,38.761177,2220599
2013-12-23,40.450001,40.799999,39.91,40.07,38.378063,1619813
2013-12-26,40.779999,40.779999,40.009998,40.310001,38.607929,832175
2013-12-27,40.509998,40.799999,40.009998,40.27,38.569618,672946
2013-12-30,40.400002,40.880001,40.389999,40.75,39.029354,1510594
2014-01-02,40.790001,41.209999,40.400002,41.040001,39.307106,1704702
2014-01-03,41.040001,41.25,40.400002,40.950001,39.220905,820365
2014-01-06,41.57,41.900002,41.18,41.700001,39.939236,1153875
2014-01-07,41.700001,42.5,41.669998,42.490002,40.695885,1020839
2014-01-08,42.41,42.599998,41.830002,42.09,40.312767,1370614
2014-01-09,41.810001,42.5,41.799999,42.150002,40.370239,1583797
2014-01-10,42.599998,42.599998,42.34,42.57,40.772503,853105
2014-01-13,42.549999,42.700001,42.360001,42.630001,40.829967,1662836
2014-01-14,42.700001,42.849998,42.5,42.560001,40.762924,2703366
2014-01-15,42.599998,42.799999,42.490002,42.759998,40.954475,1716801
2014-01-16,42.759998,42.759998,42.330002,42.57,40.772503,540080
2014-01-17,42.57,42.799999,42.220001,42.560001,40.762924,1249071
2014-01-20,42.349998,42.950001,42.07,42.619999,40.820389,360300
2014-01-21,42.650002,43.400002,42.599998,42.779999,40.973633,2586614
2014-01-22,43.400002,43.400002,42.200001,42.330002,40.542637,2086417
2014-01-23,42.23,42.330002,41.669998,42.049999,40.27446,1267657
2014-01-24,41.669998,41.669998,40.27,40.48,38.770752,2642864
2014-01-27,40.32,40.32,39.049999,39.869999,38.186508,3219707
2014-01-28,39.869999,40.16,39.689999,39.75,38.071579,1677679
2014-01-29,39.549999,39.619999,38.759998,39.200001,37.5448,3106209
2014-01-30,39,39.959999,39,39.490002,37.822559,2136710
2014-01-31,39.400002,40.189999,39.400002,39.900002,38.21524,1706378
2014-02-04,39.099998,40.200001,39.099998,39.52,37.851284,7442804
2014-02-05,39.34,39.34,37.209999,37.889999,36.290108,3381273
2014-02-06,38.259998,39,37.639999,38.810001,37.171268,2186738
2014-02-07,38.869999,39.299999,37.529999,37.860001,36.261383,1805026
2014-02-10,37.669998,38.490002,37.509998,38.279999,36.663639,902734
2014-02-11,38.400002,39.650002,38.099998,39.599998,37.927906,2340338
2014-02-12,39.650002,39.650002,38.73,39.400002,37.736359,1924781
2014-02-13,39.59,39.59,38.529999,38.75,37.1138,842089
2014-02-14,39.599998,41.990002,39.59,41.75,39.987122,5393499
2014-02-17,41.75,41.830002,40.470001,41.330002,39.584866,445584
2014-02-18,41.400002,41.77,40.580002,41.02,39.287952,1636825
2014-02-19,40.950001,41.290001,40.5,40.880001,39.153862,1919718
2014-02-20,40.860001,41.380001,40.439999,41.09,39.354996,2514714
2014-02-21,40.849998,41.25,40.57,41.200001,39.460354,796384
2014-02-24,41.200001,42.25,41.169998,41.380001,39.632751,2023129
2014-02-25,41.200001,41.700001,40.549999,41.240002,39.498665,1249822
2014-02-26,41.5,41.5,40.130001,40.540001,38.828217,3091102
2014-02-27,40.740002,40.970001,39.939999,40.91,39.182594,1700760
2014-02-28,40.18,41.419998,40.18,41.080002,39.345413,792830
2014-03-03,40.900002,41.299999,40,40.150002,38.454685,3643818
2014-03-04,40.900002,41,40.279999,40.830002,39.105976,1374532
2014-03-05,40.799999,40.799999,39.900002,40.360001,38.655815,775889
2014-03-06,40.23,41.98,40.150002,40.450001,38.74202,2487507
2014-03-07,40.529999,40.91,39.970001,40.119999,38.425953,1141879
2014-03-10,40.32,40.5,38.060001,39.150002,37.49691,1206759
2014-03-11,39.48,40.5,39.439999,39.57,37.899178,974493
2014-03-12,39.700001,40.799999,39.700001,40.540001,38.828217,2216371
2014-03-13,40.549999,41.200001,39.52,41,39.268791,1292274
2014-03-14,41,41.75,40.110001,41.610001,39.853035,976170
2014-03-18,41.450001,43.68,41.32,43.02,41.203499,2870225
2014-03-19,43.349998,45.470001,43.110001,44.59,42.707211,2097425
2014-03-20,44.549999,46.139999,44.060001,45.950001,44.009781,2073005
2014-03-21,45.950001,47.599998,45.950001,47.290001,45.293201,3547143
2014-03-24,47.259998,47.5,45.48,45.73,43.799072,1419650
2014-03-25,45.98,46.869999,45.5,46.700001,44.728115,1705443
2014-03-26,46.869999,47.490002,45.959999,46.380001,44.421627,1394283
2014-03-27,46.009998,47.5,46,47.450001,45.446449,736789
2014-03-28,47.5,47.900002,47.07,47.389999,45.388981,2141901
2014-03-31,47.209999,47.970001,46.630001,47.5,45.494335,1643622
2014-04-01,47.259998,47.720001,46.59,47.369999,45.36982,597670
2014-04-02,47.009998,47.869999,46.900002,47.799999,45.78167,1665022
2014-04-03,48,48,46.990002,47.299999,45.302776,1734083
2014-04-04,47.759998,47.990002,47.630001,47.880001,45.858292,2139613
2014-04-07,47.639999,48,46.900002,47,45.015446,420915
2014-04-08,46.900002,47.790001,46.060001,46.23,44.277958,2111654
2014-04-09,46.610001,46.82,46.23,46.630001,44.661072,836675
2014-04-10,46.900002,47.099998,46.200001,46.290001,44.335423,2696145
2014-04-11,46.25,46.84,45.27,46.459999,44.498249,801955
2014-04-14,46.830002,46.849998,46.459999,46.610001,44.641914,354092
2014-04-15,46.84,46.849998,46.290001,46.740002,44.766426,679442
2014-04-16,46.82,47,46.580002,46.720001,44.747276,370984
2014-04-21,46.619999,47.099998,46.5,46.610001,44.641914,382091
2014-04-22,46.580002,46.849998,46.18,46.82,44.843048,699205
2014-04-23,46.779999,46.779999,46,46.279999,44.325848,710989
