Date,Open,High,Low,Close,AdjClose,Volume
2013-12-18,55.2976,55.941502,54.400002,54.809799,50.231415,2988799
2013-12-19,55.3951,55.609798,54.448799,55.121899,50.517445,2625503
2013-12-20,55.121899,55.795101,54.273201,54.614601,50.052513,8104324
2013-12-23,55.317101,55.317101,54.341499,54.380501,49.837975,2336984
2013-12-26,54.3512,55.307301,54.3512,54.546299,49.989922,2530344
2013-12-27,54.409801,55.258499,54.097599,54.2244,49.694912,3076189
2013-12-30,53.951199,54.624401,53.580502,53.639,49.158409,2890920
2014-01-02,52.536598,53.024399,52.487801,52.5854,48.192822,3839863
2014-01-03,52.634201,52.8293,51.951199,52.058498,47.709942,3234915
2014-01-06,52.068298,52.7024,51.922001,52.146301,47.790405,2467779
2014-01-07,52.653702,52.878101,51.717098,52.4781,48.094482,2981379
2014-01-08,52.682899,53.824402,52,53.6488,49.167385,3793944
2014-01-09,53.726799,53.7561,52.546299,53.1707,48.729233,6570962
2014-01-10,53.258499,53.8927,53.053699,53.736599,49.24786,5411952
2014-01-13,53.951199,54.0098,52.985401,53.092701,48.657753,1929226
2014-01-14,53.141499,53.4244,52.7024,53.1707,48.729233,2196775
2014-01-15,53.4342,53.4342,52.634201,52.790199,48.380516,2024543
2014-01-16,52.634201,52.839001,51.9902,52.321899,47.951328,2216019
2014-01-17,52.390202,52.682899,51.121899,51.268299,46.985733,3536113
2014-01-20,51.375599,52.048801,51.278,51.658501,47.343357,1735658
2014-01-21,51.4146,51.609798,50.2537,50.438999,46.225719,6220825
2014-01-22,50.321899,50.8195,49.1707,50.497601,46.279423,5164160
2014-01-23,50.497601,51.014599,49.824402,50.1073,45.921734,3530733
2014-01-24,50.2439,50.614601,48.887798,49.160999,45.05447,6688097
2014-01-27,49.356098,49.356098,47.804901,48.2341,44.20499,8312611
2014-01-28,48.761002,48.8195,47.824402,48.2537,44.222965,4624813
2014-01-29,48.0098,48.048801,47.200001,47.385399,43.427185,6891433
2014-01-30,47.3951,48.292702,46.8293,46.917099,42.998005,11709871
2014-01-31,46.799999,46.799999,44.9268,45.307301,41.52269,11929620
2014-02-04,44.878101,45.7561,44.390202,44.722,40.986263,4488416
2014-02-05,44.722,46.2341,44.722,45.502399,41.701477,5971670
2014-02-06,45.8634,46.146301,45.570702,45.687801,41.871403,7021550
2014-02-07,45.853699,46.536598,45.375599,46.331699,42.461502,5658849
2014-02-10,46.341499,46.341499,44.897598,45.024399,41.263412,3647544
2014-02-11,44.878101,46.029301,44.809799,45.795101,41.969734,6964114
2014-02-12,45.951199,47.795101,45.5415,47.609798,43.632839,11301371
2014-02-13,47.375599,47.375599,46.487801,46.887798,42.971153,8893333
2014-02-14,46.887798,47.658501,46.546299,46.887798,42.971153,4968027
2014-02-17,47.102402,47.5415,46.682899,46.799999,42.890686,934777
2014-02-18,46.5951,47.5219,46.5951,47.4146,43.453953,2678087
2014-02-19,47.258499,47.512199,45.1707,45.2878,41.504807,4195589
2014-02-20,45.4146,45.629299,44.438999,45.268299,41.486935,3295118
2014-02-21,45.024399,45.931702,45.024399,45.7463,41.925011,2915304
2014-02-24,45.853699,46.1366,45.4244,45.629299,41.817783,2950137
2014-02-25,45.726799,45.726799,43.5415,43.922001,40.253094,5425672
2014-02-26,44.195099,44.614601,41.258499,41.687801,38.205528,10478562
2014-02-27,41.697601,42.975601,41.697601,41.9902,38.482666,5560292
2014-02-28,42.146301,42.536598,41.804901,42.1171,38.598965,3421777
2014-03-03,41.873199,42.438999,41.629299,41.843899,38.348579,2543075
2014-03-04,42.156101,42.9268,41.678101,41.7854,38.294971,3656440
2014-03-05,41.7854,42.370701,40.975601,41.336601,37.883663,6686550
2014-03-06,41.5415,42.995098,41.2976,41.9902,38.482666,5533677
2014-03-07,42.019501,42.643902,41.317101,41.5415,38.071449,4190381
2014-03-10,41.561001,41.609798,40.087799,40.624401,37.230961,5972612
2014-03-11,40.624401,41.551201,40.536598,41.092701,37.660137,2700970
2014-03-12,40.546299,42.312199,40.546299,41.151199,37.713749,2702095
2014-03-13,41.453701,41.931702,40.195099,40.692699,37.293545,3313701
2014-03-14,40.741501,41.492699,40,41.248798,37.803192,6945273
2014-03-18,41.307301,41.853699,40.751202,41.453701,37.990982,3536924
2014-03-19,41.473202,43.375599,41.473202,43.238998,39.627151,8279414
2014-03-20,42.9268,44.370701,42.185398,43.512199,39.877537,5346593
2014-03-21,43.804901,45.5415,43.726799,45.2878,41.504807,8760888
2014-03-24,45.2878,45.843899,43.609798,43.824402,40.163651,4074338
2014-03-25,44.039001,44.438999,43.873199,44.068298,40.387169,2270984
2014-03-26,44.1073,44.438999,43.219501,43.7463,40.092072,2037579
2014-03-27,43.902401,44.390202,43.317101,44.3512,40.646446,2516303
2014-03-28,44.390202,44.858501,43.931702,44.156101,40.467644,2213155
2014-03-31,44.156101,45.248798,44.156101,45.0732,41.308136,6648779
2014-04-01,44.878101,45.512199,44.2439,45.4146,41.621014,3301954
2014-04-02,45.6488,46.263401,44.878101,45.0341,41.272293,4599959
2014-04-03,45.492699,45.492699,44.390202,44.975601,41.218689,2871560
2014-04-04,44.878101,46.029301,44.556099,44.731701,40.995159,3199355
2014-04-07,44.643902,45.717098,44.497601,45.5317,41.728336,2035878
2014-04-08,45.307301,46.536598,45.307301,46.438999,42.559849,6111212
2014-04-09,45.804901,46.770699,45.678101,46.380501,42.506233,6087109
2014-04-10,46.634201,46.809799,46.039001,46.087799,42.23798,6230018
2014-04-11,45.7561,46.292702,45.141499,45.707298,41.889267,3525477
2014-04-14,45.268299,46.770699,45.268299,46.5756,42.685032,4484340
2014-04-15,46.8293,47.570702,46.614601,47.102402,43.167835,6063594
2014-04-16,47.502399,47.804901,47.209801,47.795101,43.802673,3187591
2014-04-21,47.5415,48.273201,47.317101,47.922001,43.918968,1644827
2014-04-22,47.8927,48.165901,47.326801,47.5415,43.570251,2379448
2014-04-23,47.5415,47.5415,46.438999,46.8293,42.917549,1894283
2014-04-24,46.643902,47.697601,46.1171,47.4049,43.445053,2018322
2014-04-25,46.780499,47.804901,46.634201,47.463402,43.498676,1697549
2014-04-28,47.512199,47.7463,46.3512,46.634201,42.738735,2178529
2014-04-29,46.634201,48.282902,46.634201,47.931702,43.927853,3631524
2014-04-30,47.317101,47.707298,46.975601,47.502399,43.53442,3305305
2014-05-02,47.2878,47.512199,46.780499,47.082901,43.14996,2350807
2014-05-05,47.082901,47.463402,46.848801,47.346298,43.391357,543773
2014-05-06,47.131699,48.5658,47.131699,48.400002,44.357044,3479901
2014-05-07,48.536598,50.438999,48.282902,50.156101,45.96645,6323614
2014-05-08,50.165901,50.6049,48.985401,49.131699,45.027615,3455264
2014-05-09,49.131699,49.629299,48.917099,49.200001,45.090214,834370
2014-05-12,49.219501,50.312199,48.848801,49.346298,45.224289,2394016
2014-05-13,49.609798,50.995098,49.609798,50.731701,46.493961,4802716
2014-05-14,49.804901,52.029301,49.7659,51.365799,47.075104,6285229
2014-05-15,51.356098,51.356098,49.941502,50.019501,45.841251,4121725
2014-05-16,49.853699,50.682899,49.853699,50.2146,46.020061,2045810
2014-05-19,50.2341,51.502399,49.7561,51.336601,47.048336,3126140
2014-05-20,50.9659,51.365799,50.741501,51.0439,46.780087,4908892
2014-05-21,51.219501,51.658501,50.673199,50.809799,46.565544,10151810
2014-05-22,50.9268,51.092701,50.341499,50.790199,46.547585,2024529
2014-05-23,50.8195,52.390202,50.3512,52.204899,47.844105,5277673
2014-05-26,52.448799,53.4146,52.292702,52.438999,48.058647,2871546
2014-05-27,52.975601,52.985401,51.599998,51.717098,47.397053,3852549
