Date,Open,High,Low,Close,AdjClose,Volume
2013-12-18,153,155.850006,151.460007,155.009995,145.194565,682659
2013-12-19,155,156.990005,153.509995,156.820007,146.889969,464753
2013-12-20,156.820007,156.850006,151.520004,152.320007,142.674911,1764348
2013-12-23,152.979996,156.009995,152.509995,155.429993,145.587967,477644
2013-12-26,154.279999,155.949997,153.009995,153.789993,144.051819,549625
2013-12-27,154.029999,155.800003,154,155.509995,145.662888,463945
2013-12-30,155.600006,157.5,154.419998,156.919998,146.983643,310666
2014-01-02,156.029999,161.490005,154.550003,157.559998,147.583099,728110
2014-01-03,157.5,158.009995,153.509995,154.470001,144.688766,491907
2014-01-06,155.240005,155.240005,150,151.190002,141.61647,673350
2014-01-07,151.039993,153.809998,151.009995,153.100006,143.405518,563617
2014-01-08,153.080002,155.800003,151.509995,155.479996,145.634811,344470
2014-01-09,155.550003,158,155.550003,157.630005,147.648682,549363
2014-01-10,158,165.550003,158,164.960007,154.514526,911798
2014-01-13,164.960007,164.960007,161.5,162.360001,152.079178,582852
2014-01-14,163,163.050003,161.5,162.860001,152.547485,454877
2014-01-15,164.5,164.5,162.020004,163.360001,153.015839,365535
2014-01-16,163.990005,163.990005,161,163.339996,152.997101,264778
2014-01-17,163.899994,163.960007,161.509995,163.429993,153.08139,378287
2014-01-20,164,166,162.5,165.729996,155.235764,121612
2014-01-21,165.800003,165.800003,163.509995,165.440002,154.964127,515468
2014-01-22,165.5,165.5,162.5,164.220001,153.821396,501996
2014-01-23,165.899994,165.899994,161.009995,164.830002,154.392746,437972
2014-01-24,165,165.5,157.770004,161.259995,151.048798,773748
2014-01-27,161.259995,161.399994,157,160.270004,150.121506,703850
2014-01-28,162.389999,164.679993,159,161.210007,151.001984,376207
2014-01-29,160,164,156.110001,161.309998,151.095642,553291
2014-01-30,161.309998,164,159.990005,163.630005,153.268738,581905
2014-01-31,164,164.389999,161.5,162.630005,152.332062,347960
2014-02-04,161.649994,164.710007,159,162.050003,151.788788,491532
2014-02-05,162.539993,163,160,162.839996,152.528748,309676
2014-02-06,162.979996,162.979996,159.399994,160.720001,150.543015,720775
2014-02-07,161.910004,161.979996,159.600006,161.259995,151.048798,330408
2014-02-10,161,163.25,161,162.479996,152.191544,346922
